,Ano,Media mulheres,Media homens,ENEM
0,2013,13.223405403262689,86.77659459673731,58.344145022494395
1,2014,12.646349677727523,87.35365032227249,58.1216447869861
2,2015,10.229647819763702,89.7703521802363,57.580714308674175
3,2016,9.871471602490875,90.12852839750913,57.753977285043
4,2017,10.040580977451837,89.95941902254816,58.63246177026116
5,2018,9.710428835381018,90.28957116461896,59.08334698107435
6,2019,9.210679068137258,90.78932093186276,59.50261531948584
7,2020,9.27431796750611,90.7256820324939,59.98166384206143
8,2021,8.509596818403635,91.49040318159636,61.670489864984454
9,2022,10.553538157580949,89.44646184241905,61.00273150552127
