,Ano,Media mulheres,Media homens,ENEM
0,2013,14.664425071651705,85.3355749283483,57.356934001670844
1,2014,16.3699383051286,83.63006169487139,57.56656999736356
2,2015,13.24390430347679,86.7560956965232,56.64824277818333
3,2016,12.267755900194361,87.73224409980564,56.28964327396356
4,2017,9.664684800210646,90.33531519978935,56.25700800542387
5,2018,11.152750385375805,88.84724961462419,56.76117432576853
6,2019,10.268007704808541,89.73199229519146,57.43450554637716
7,2020,7.686021112216259,92.31397888778375,55.54590368641077
8,2021,7.333619800925002,92.666380199075,56.86696494308207
9,2022,9.848819517419285,90.15118048258071,56.25062506250625
